SMILES_clean,IUPACName_clean,pIC50_clean
clc1ccncocsc2ncccn2c2cscn2c2ccccc2ccclc1,n35dichlorophenyl242phenyl13thiazol4ylpyrimidin2ylsulfanylacetamide,-0.477121255
cn1nccc1cfffc1cccs1c1ccncscconc2cccclcc2n1,n4chlorophenyl2451methyl5trifluoromethylpyrazol3ylthiophen2ylpyrimidin2ylsulfanylacetamide,-1.0
csc1ccccs1c1ncccs1c1ccncscconc2cccclcc2n1,n4chlorophenyl244methyl2methylsulfanyl54methyl13thiazol2ylthiophen3ylpyrimidin2ylsulfanylacetamide,-1.041392685
cc1nccs1c1nccs1c1ncscconc2cccclcc2ncc1,n4chlorophenyl2422methyl13thiazol4yl13thiazol4ylpyrimidin2ylsulfanylacetamide,-1.146128036
clc1cccncocsc2ncccn2c2ccno2c2ccccc2cc1,n4chlorophenyl243phenyl12oxazol5ylpyrimidin2ylsulfanylacetamide,-1.176091259
fcffc1cccncocsc2ncccn2c2ccno2c2cccclcc2clcc1,24324dichlorophenyl12oxazol5ylpyrimidin2ylsulfanyln4trifluoromethylphenylacetamide,-1.176091259
clc1cccncocsc2ncccn2c2ccno2c2cclcccc2cc1,n4chlorophenyl2432chlorophenyl12oxazol5ylpyrimidin2ylsulfanylacetamide,-1.176091259
cccc1ccclncscconc2cccclcc2n1,n4chlorophenyl24chloro6propylpyrimidin2ylsulfanylacetamide,-1.477121255
coc1ccccc1c1ccnconcscconc2ccccc2snoon1,25cyano43methoxyphenyl6oxo1hpyrimidin2ylsulfanyln4sulfamoylphenylacetamide,-1.602059991
cccc1cccncocsc2ncccn2c2cccs2cc1,n4propan2ylphenyl24thiophen2ylpyrimidin2ylsulfanylacetamide,-1.602059991
coc1cocccncocsc2ncoccn2c2ccccc2cc1,n34dimethoxyphenyl26oxo4phenyl1hpyrimidin2ylsulfanylacetamide,-1.653212514
coc1ccccc1c1ccnconcscconc2ccccc2ccon1,n4acetylphenyl25cyano43methoxyphenyl6oxo1hpyrimidin2ylsulfanylacetamide,-1.77815125
cccsc1ncc2ccccocc2ccncon1conc1ccccc1cco,n3acetylphenyl25cyano43methoxyphenyl6oxo1hpyrimidin2ylsulfanylbutanamide,-1.77815125
cc1cconcscconc2coc3ccccc3cccclc2n1,n5chloro2phenoxyphenyl24methyl6oxo1hpyrimidin2ylsulfanylacetamide,-2.0
cc1cconcscconc2cccoc3cccclcc3cc2n1,n44chlorophenoxyphenyl24methyl6oxo1hpyrimidin2ylsulfanylacetamide,-2.301029996
cccc1cccncocsc2ncccn2c2csccoc3cclcccc3n2cc1,2422chlorophenoxymethyl13thiazol4ylpyrimidin2ylsulfanyln4propan2ylphenylacetamide,-2.301029996
cococc1cconcscconc2ccccc2cfffn1,24dimethoxymethyl6oxo1hpyrimidin2ylsulfanyln4trifluoromethylphenylacetamide,-2.301029996
ccccc1cccncocsc2ncc3ccccc3ccncon2ccc1,n4butyl2methylphenyl25cyano4cyclohexyl6oxo1hpyrimidin2ylsulfanylacetamide,-2.301029996
fcffc1ccccncocsc2ncc3ccccc3ccncon2c1,25cyano6oxo4phenyl1hpyrimidin2ylsulfanyln3trifluoromethylphenylacetamide,-2.301029996
ccococ1cncscconc2ccccc2noonc1n,ethyl4amino224nitroanilino2oxoethylsulfanylpyrimidine5carboxylate,-2.397940009
ccoc1ccccc1n1coccsc2ncccccn2c1o,346dimethylpyrimidin2ylsulfanyl14ethoxyphenylpyrrolidine25dione,-2.477121255
ccsc1ncc2ccccc2ccncon1conc1cccclcc1,n4chlorophenyl25cyano6oxo4phenyl1hpyrimidin2ylsulfanylpropanamide,-2.477121255
ccccc1cccncocsc2ncc3ccccc3ccncon2cc1,n4tertbutylphenyl25cyano4cyclohexyl6oxo1hpyrimidin2ylsulfanylacetamide,-2.544068044
coc1ccccc1c1ncscconc2ccccc2cccncc1,244methoxyphenylpyrimidin2ylsulfanyln4propan2ylphenylacetamide,-2.602059991
cc1ncscconc2cccclcc2fncc1cfff,n4chloro2fluorophenyl24methyl6trifluoromethylpyrimidin2ylsulfanylacetamide,-2.698970004
cc1coc2c1cococ1c3ccccccoc3ccc21,6hydroxymethyl16dimethyl89dihydro7hnaphtho12g1benzofuran1011dione,-1.394451681
cococ1ccccc2c3cococ4cocc4cc3ccc12,methyl16dimethyl1011dioxo89dihydro7hnaphtho12g1benzofuran6carboxylate,-1.324282455
cc1coc2c1cococ1c3ccccccc3ccc21,166trimethyl2789tetrahydro1hnaphtho12g1benzofuran1011dione,-2.35545152
cc1coc2c1cococ1c2ccc2cccccc12,16dimethylnaphtho12g1benzofuran1011dione,-1.587710965
cc1coc2c1cococ1c2ccc2cccccc12,16dimethyl12dihydronaphtho12g1benzofuran1011dione,-1.158362492
cccc1cc2ccc3ccccc3ccc2coc1o,88dimethyl2propan2yl67dihydro5hphenanthrene34dione,-1.324282455
cc1cclccclcc1sooc1ccccc1noocfffnoo,15dichloro226dinitro4trifluoromethylphenylsulfonyl4methylbenzene,0.522878745
clcclcclcooc1ccccc1sooc1cccococclcclclcc1,44233trichloroprop2enoyloxyphenylsulfonylphenyl233trichloroprop2enoate,0.045757491
nc1ncccnn1sooc1cccclcc1,54chlorophenylsulfonylpyrimidine24diamine,-0.77815125
onoc1ccccc1sooc1cccclcc1cfff,14chlorophenylsulfonyl2nitro4trifluoromethylbenzene,-1.079181246
cc1cccccncn1sooc1ccccc1noo,2benzenesulfonyl46dimethyl5nitropyridine3carbonitrile,-1.113943352
cc1ccccc1sooc1ncccccc1cnnoo,46dimethyl24methylphenylsulfonyl5nitropyridine3carbonitrile,-1.113943352
onoc1cnoccc1sooc1cccclcc1,24chlorophenylsulfonyl5nitro1oxidopyridin1ium,-1.176091259
ococ1ccccc1sooc1ccbrcocbrc1,435dibromo4hydroxyphenylsulfonylbenzoicacid,-1.204119983
ccoc1ccccc1sooc1ccccc1coo,22acetylphenylsulfonylbenzoicacid,-1.204119983
onoc1ccccc1sooc1ccccc1noo,1nitro44nitrophenylsulfonylbenzene,-1.397940009
fcffc1nncn1scoc1ccco1ccc1ccccc1,s5trifluoromethyl1h124triazol3yl52phenylethynylfuran2carbothioate,-0.477121255
cn1nccc1c1cccs1conc1cccno1noocfff,n3methyl4nitro12oxazol5yl52methyl5trifluoromethylpyrazol3ylthiophene2carboxamide,-0.698970004
